Author,Comment,sentiment_label
JRE Podcast Clips,when he decided to run i was very happy his father was if not the best leader canada has had and the he would have instilled that same leadership to his kids and that would make justin just as good as his father but there was one factor i forgot about his mother,positive
Sofia c,my whole family hates turdo,negative
Sofia c,justin trudo is totally the worst worst person ever thumbsdownmediumlightskintone thumbsdownmediumlightskintone thumbsdownmediumlightskintone thumbsdownmediumlightskintone thumbsdownmediumlightskintone thumbsdownmediumlightskintone thumbsdownmediumlightskintone Success pride passion annoyed,negative
Bernie Fynn,he has brought in an anti conversion therapy law those who say god watcjhh out yu may be next with this evil individual,negative
Tom tom reid Jackson,it  s just covid19 hysteria,negative
Sean Michaluk,this puppets string pullers know full well when one of their prostitutes aka workers of iniquity follow their commands based on fear or financial gain that it is only a matter of time until they turn on them as they are un spiritual animals that only have betrayal death disease and destruction in their near future  33 6,negative
Ronald Bertin,we just blew billions of dollars in taxpayers money to get a phony election result,negative
king song,if it hurts canada trudeau will do it,negative
king song,sad for canada that in these trying times canada has the weakest leader in history,negative
Tyler Burlington Machining,congrats bud you just won a karate chop to the neck,positive
Tyler Burlington Machining,do nt  dislike  anyone  rcmp will come get you fall in line sheep fortunately the you gods have laid down the path that we need to follow move my friends down the path there is a small shed that smells like death there may be loud cries for sympathy but trust me continue on 2nd door on the left,negative
savage: Jacqueline clarissa,what is your response to the canadian justice websites published cyborg manifesto,neutral
patrick sharpe,what a waste of time and money,negative
Tom Thoumb,hopefully this is the year he ends up like a certian us president  if you know what i mean,positive
Hui Wong,please rise awareness that covid is a natural disaster that can happen anywhere in the world and less hate toward asians because of that i experience more hate when co vid started so of it maybe me but so are not,negative
j7843 s,trudeau is evil he promotes abortion i pray for his soul yet oppose him as an unjust and demonic oppressed person those of you who support liberals must also know this abortion is a mortal sin including all those who support abortion practices awaiting holy justice,negative
Wookie Step Brother,you elected a communist well done canada,negative
anisur rahman,trodou is a charismatic leaderi love him,positive
Md. Raju Ahmed,i ilike love justin trudeau,positive
Md. Raju Ahmed,need justin trudeau email,neutral
Don Thanh Dao,im hitting prime minister of canada justin trudeau with abandonment and neglection of the citizens of western canada,negative
Nick Wilson,you can see the side of his face shifting back into a reptile at a href ,neutral
Huge Assets,this communist wo nt last long,negative
Tacitus Kilgore,we need our own let s go brandon chant,neutral
Jordan,wow how many people are there about 35 if that ,positive
exospace man,i can tell the dislikes are from republicans,negative
Jeffrey Meyers,youtube sucks go to brighteon,negative
Patrick C,as an american my heart breaks for my normal neighbors to the north of alberta saskatchewan who have to live under this insanity,negative
OnlyMadrid,love him or hate him he  s a great speaker handles hecklers really well has very good plans on climate change and that  s at least something you need to agree on he also handled covid really well,positive
karma s,looks like s high school award show,neutral
Capitaine Bonhomme,congratulations to trudeau for winning a third term,positive
Pelican CNC Tech,can not stand this voice just make me sick,negative
Bryson Loov,who would vote for him again do people follow politics other than the cbc,negative
alex white,ok so i cant have to many people in my small buisness and they have to be spaced but all of them dont have to follow the laws  ok,neutral
Rick Scicluna,you know i read all the comments about trudeau here and see by all of them that he s truly not the favorable prime minister at all i agree with you all by the way so who the frig voted for him i know a lot of ex liberals that actually do nt like him anymore and changing who they vote for how did he get such high numbers again,negative
Randy Brown,liberals will never get another majority with trudeau canadians are waking up to how bad politicians are screwing us all parties,negative
Akm Rifat,how wonderful he is feel so proud of him  lots of love for himFluttering love,positive
brev g8s,hope the authorities are onto the continued gravel throwing and even jfk like action  book em,negative
brev g8s,conservatives screaming into their antiquated pillows a la ostrich head in sand trudeau is infinitely better than harper was or any conservative leader since ndp are a great dance partner as well canada is progressive and intelligent not dated and hateful as the radcons,negative
Andrew Botelho,you  re the absolute worst,negative
Vinícius Rafael,realy not a single one better than this dude someone how has realy concern about de general not minorities it will not work good luck from brazil,negative
Mandatenow!,stop the steal Fun joking cheeky,neutral
Lee Brittan,the words of a pathological lier you ca nt believe a word coming out of this hypocrites mouth,negative
John Gilmour,i vote noncomfidence in justin trudeau and his failure as a prime minister and ask that parliament be dissolved and call for an immediate election,negative
John Gilmour,let the non confidence voting begin and please hurry,neutral
John Gilmour,trudeau may be one of the reasons   george soros has been arrested and confined in gitmo  awaiting a military tribunal of crimes against the world,negative
John Gilmour,justin trudeau has created the   darkest day in canada s proud history and in referring to this person he will no longer carry the title or rank of prime minister  in my opinion,negative
Night Legend,congrats maybe he  ll become the next sultan brown face background,positive
Babak Azizi,long live honorable justin trudeau and his party god bless,positive
Freedomfighter69,justin admires china he wants dictatorship in canada the election he called at the expense of the tax payers was another movement to get this he needs to go,negative
You know My first last name,4 homes in reach of middle class families working class families anguishedface anguishedface Frustrated struggling helpless,negative
Caroline,this is so embarrassing to watch,negative
Vladimir Harkonnen,i bet sophie  s pleased she has to stick around for another term,positive
NCG,good job canada you voted him in again and are complaining hypocrisy,positive
MacCuinneagain,it could be that justin has a plan for example if he wants to make a bold move such as conduct a major reconciliation settlement with first nations people the result could be a disgruntled parliament but having just had an election it is very unlikely that an nonconfidence vote would come about causing yet another election we ll see  but i m giving him the benefit of the doubt he thinks things over,neutral
Blue Eyed K,why didn  t more people vote him out if everyone is so outraged,negative
Oasis Sniper,you  re a disgrace turdeau,negative
jupiter jones,if this is a victory speech then germany won ww2  by the way  the election is not over  printed mail in ballots from democrats in ny have arrived in 12 ridings in canada the exact number blackface needs to get absolute majority  dark days ahead for canada,negative
Benjamin Robb,that was no victory that was just pathetic,negative
John Boy,2 out of 3 canadians voted against justin trudeau and 40 did not vote he did nt win because he was popular i ca nt believe another 4 yrs of this fn goof,negative
Jerry G.,weird how the glitches only happen around his face it s like the evil in him is trying to show itself,negative
Z Y,end of canada economic with his succeed to retain the post as prime minister,neutral
Michael Maehle,it s not a mandate it s a reprimandate quit wasting our time and money,negative
Micky Lion🦁,please save canada from khalistani terrorism Prayer thank you high five,neutral
Michele Peterson,trudeau got in same as biden fraud,negative
Belquse Marial,thank you so much bless youWell done good job approvalWell done good job approvalWell done good job approvalPrayer thank you high fivePrayer thank you high fiveKiss love,positive
Craig Blake,i do nt know why imam trudeau did nt just come out and tell the truth in stating thank you to george soros for paying for my seat again this election,negative
DatNiqqa,from coast to coast to coast this guy actually knows he triggers others ,negative
Tigercuddle,you did not win you lost big in the eyes of canadians in the eyes of the world and eyes of god,negative
Rocco DiMiccio,he didnt actually say anything,neutral
Alisa C.,god help us under canada s first blackface peoplekind proud feminist dont think about monetary policy at all prime minister,negative
ssnader a,odd how there was no music at the start like you won why the silence,negative
Dustin Williams,tim elliot wo nt let me on facebook,negative
I quit..,i  m actually from fort mac he raises the taxes hereit  s not fair  it  s the new canadian  s voting for him,negative
Princess Princess,seems like trudeau and biden were on the same dominion voting system,neutral
EMCF,prime minister trudeau sounds good to me next time he ll get that majority too,positive
Jason Bryan,snc lavalin charges today  interesting timing,positive
True Canadian,another 4 years of woke crocodile tears and massive spending of other people s money to address symptoms of issues in canada oh and likely a 15 trillion debt load by the end all someday to be repaid by canadians who see canada as their only country not one of convenience until something with even more free stuff comes along,negative
Joseph,how many water towers could be build on reserves for 600000000,neutral
Dbledgedsword,cut and paste of his previous 2 election speeches this dips t does not have a single individual thought in his head i would fire his speechwriter  especially if he wrote it himself,negative
Z Z,welcome to canada where 32 of people vote for you and you get to be the leader of the country,positive
Rocky Merasty,i dont care who wins im not into politics the world is gon na destroy itself anyway,negative
athena00,Excitement laughter joy he s glitching  the higher frequency  their facade falls away,negative
Daniel VIllalobos,mister trudeau this was not a victory this was an expensive waste of time,negative
Justin M,then how are you forcing people to get vaccines how are guaranteeing that this vaccine does nt have long term side effects i cant believe people are actually contemplating giving this to their kids its disgusting do people not understand how vaccines are developed never in history has a vaccine been released in less then a year of testing 510 years is normal yall vaccineers are crazy,negative
MicPenedor,that everyone who believes in him may have eternal life 16for god so loved the world that he gave his one and only son that everyone who believes in him shall not perish but have eternal life 17for god did not send his son into the world to condemn the world but to save the world through him,positive
KH4444444444N,its already over  trudeau will never lose but we all will ,neutral
Titi diny,god bless you our honourable prime minister justin trudeau we love you  i will keep you in my prayers and your lovely family  when god is on your side who can be against you Fluttering loveHugging love and support jazz hands enthusiasm,positive
Jean Per,justin trudeau the parasitic human voted by non humans  parasites worm worm worm,negative
J E,canada a lovely country in trouble sad to see it,negative
Hey Now,beautiful family sending my love from alberta,positive
BobbyBoucher,thank you justin for calling this election the ppc recieved plenty of exposure and in two years you will be crying when you have to debate a real opponent,positive
no channel,canada was once a great country then trudeau happened,negative
Barry McHugh,the face of a liar gets voted in because of it ridiculous,negative
Japnit Singh Sethi,can anyone explain to a non canadian of how trudeau won elections when i consistently people not happy via youtube comments or social media comments on his videos i know it is not the best representation of the canadian population but that is the only source for the global non canadian population,negative
Sohi Gamer,everybody was against trudeau but still he won through voting can somebody explain me how he wins if too less people vote him actually,neutral
Jack J,this guy is such a hypocrite remember when he told a town meeting to veterans they where asking for more than the government could give he  s just spent 610 million dollars on a useless election not to mention the billions on the pandemic and their was no money for vets who fought with their lives for this country,negative
Sarah Bullock,i would like to see what data he had that lead him to believe he would get a majority i do nt know anyone that trusts him,negative
Colin Johnston,liberals broke records with this election just not the good kind laughing out loud trudeau beat out trudeau narrowly for prime minister elected with lowest popular vote,negative
KAYZIA COUTURE CLOTHING,best prime minister of canada Canada love justin trudeau,positive
Jason Rolling,someone needs to take care of these corrupt politicains,negative
DoucheCam,i got my daughter calling him princess trudeau Excitement laughter joy,positive
Laura C,600 million dollar election we are right back where we started from he still has a minority government i wish we could have a majority or nothing,negative
arthurthegreat,10 minutes of platitudes  not a single earnest meaningful word,negative
Mark Barber,i m going to fix the problems i created,negative
IryssiaOof,giving 600m to me i would had made it more useful then you did trudeau,negative
roy dias,must say that mrs trudeau is gorgeous Amazement impressed excitement,positive
Vinny Ortiz,oh my now will be more support and all all all all facilities and privilege towards syrians thanks peter pan,positive
Lil Durpy,i love you buddy do nt listen to the haters,positive
Spartali,i love how every single thing especially housing increased dramatically since covid i hope that trudeau keeps up with his promises to create affordable housing for everybody anywhere in the city average dirty cockroach infested place cost you almost 2k but yet if you work as a construction worker you probably make around 2500 a month the cost of living is a huge problem trudeau we need that issue to be resolved,positive
Sanj,let s see what happens next no complaining folks let s keep good attitudes during this time of darkness,neutral
A Midnight Spectacle,trudeau has every reason to celebrate he s won with the lowest popular vote percentage in canadian history two elections in a row,positive
Don Vitalio,trudeau is a main betrayer of canadians freedom,negative
d d,13 k dislikes  who voted for the that weird being ,negative
Shukria Ghaznawe,congratulations mister trudeau i am glad to hear the 3rd winning of liberal party fully deserved i was not eligible to vote but soon hopefully vote for next journey and election love canada,positive
Austin McKearney,i  m sick of this two faced man and his government,negative
Peter Soda,jesus christ that kiss was painful,negative
Rocky,canadians who wants to have power and freedom probably better to be in united states in canada there is no freedom anymore unless you are minority with a turban or hijab,negative
Bill Harmson,what do you call a politician who  s constituents hate him but get  s elected anyway a dictator,negative
Matt Huang,the left racism is badalso the left still voted blackface trudeaugood job,negative
ylang ylang,taxpayers 600 million dollars in exchange for accompany trudeau to play an election game and a lot of promises that will never be fulfilled,negative
Menzel17,you know the maps that show the 5050 line in canadas populationthat tiny spot near toronto is the only reason trudeau won again again,neutral
Sky Watcher,this is garbage those people there are evil,negative
chris minshall,iam just gratefull that the ppc was crushed,positive
Nour Tariq,this election was so motherfucker pointless literally the biggest waste of time and money,negative
Hk,i just wan na leave canada i can  t stand this guy  s fakeness,negative
blehhh, to get canada through this pandemic   calls a 600 million dollar election during a pandemic and housing crises yep ca nt wait for 4 years to pass,negative
Barbara Koch,i can not believe people forget his wife brought covid back from england what a joke,negative
B,what should i do with this 600 million dollars should i help feed our increasing homeless help feed our poor seniors help our struggling single mothers to buy cloths help our struggling war vets help clean the drinking water on reserves help get this opioid crises under control help protect our boarders help hire more nurses help create jobs buy more beds for our shelters noi will call an election in a pandemic canada has changed,negative
Brad Chapman,you failed trudeau no majority what a disgraceful waste of money,negative
Mark Peñalosa,will canada really never buy f35 after what those americans did to bombadier,negative
Manmeet Dhillon,a href  Love adorationLove adorationLove adorationAmazement impressed excitementCelebration joyCelebration joyCelebration joyCelebration joyCelebration joy,positive
Richard Bage,losing the popular vote and holding onto a minority government is a clear mandate from cdns wow this guy sure does live in his own head,negative
Dineshkumar Lawa,your the best after midday,positive
Joanne Black,i m assuming 13k thumbs down equals more than 69 k thumbs up i would love to know who the f voted for this guy,negative
What Does The Foxx Say,the deep state that controls trudeau need him to stay in power in order to complete the task of bringing globalist policies to canada,negative
Dan Oke,ppc people party of canada offered conservatives a free inclusive society free senors in long term care free our children from abuse you can blame the conservative voter for this they all said  they were not splitting the vote   not this time we want trudoe out  look what they got conservatives made the bed we all have to live  period,neutral
Kandy Kane,half the country has been bitching loudly about how jt and the liberals handled the pandemic so i get him being like fine you think you can do better here s your shot it s vindication for him to be reelected,negative
Jacob Mcmann,sad day for canadian s  turdo  just  whats wrong with you people  stop drinking townwater  google fluoride first use,negative
Loyla,i hope trudeau understand that this result is not a winning but the real feelings of canadians they do nt want him to have majority because he failed to prove he deserve this power on the other end i hope he takes it as another chance to actually make better decisions and listen carrefuly to the population needs,negative
CoatOD,guys they have removed 2000 dislikes in the past 4 hours keep an eye on it and take screenshots something is wrong here,negative
Joey a.k.a Mrcarrethead,number 3 on trending because it has more then double like like in dislikes laughing out loud,neutral
Jake Addy,what a nice way of wasting 600 mil its not like were alr in a trillion in debt,negative
j7843 s,mother mary please help us,positive
Trevor Toop,after forty days of peeing in his own back yard justin wins the prize  his own back yard,neutral
¹2⁴6d,congratulations victoryhandlightskintone Love adorationLove adorationLove adorationLove adoration,positive
Anonymous,waste of our federal tax money he knew he would  ve win guess voting someone different isn  t valuable to how much our tax has been spent on the election,negative
sibie,god bless prime minister justin trudeau,positive
SILENTFN.,so we all moving to the states or,neutral
Bearsky SheBearsky,why do nt you fix the water problem on the reserves canada you make me sick,negative
Bearsky SheBearsky,it s like watching netflix all red dystopian nightmare in masks wow good vibes from moscow i do nt think i am going to make it back to montreal for a while,positive
Brandon Jones,can  t get enough of this guy greatest prime minister ever,positive
Angi R,oh my god surely not Shock amazed mindblown how can anyone vote for this,negative
CoatOD,i take home 1500 on a 2100 paycheck so they can have 610 mil pointless elections,negative
Daniel Barnes,lived in canada since birth do nt consider myself canadian i fuckn hate canada,negative
Jason Craig,if you think this election was fair and on the up and up then you are the problem we all face everyday in this criminal corrupt system called our lives,negative
Matthew's Treasure Trove, 2 more years 2 more years ,positive
Dr. iQ,you are an embarrassment mr trudeau,negative
Dr. iQ,only a shameless person can deliver a shameful  victory  speech like this for j trudeau shamelessness has no limit,negative
Jeric White,a href  looks like he s in pain,negative
Miy Sadochok,another 4 long long long hopeless years canada goes down,negative
W W,seriously Embarrassed surprise flattered no something is really wrong here how can anyone continually put an idiots in charge year after year then next day complain that food housing and patriotism is out the door check the ballot i smell fraud,negative
Mezi,well guys it was a good run looks like i will now have a gun up to my head if i chose not to get vaccinated,negative
Devlins10,i m canadian and trump is my president,neutral
Nezhokojo,someone should do an audit on the 650 million that was given out for the election i m sure this  election  was to funnel money from taxpayers to line the pockets of the cbc and and so on  laughing out loud,negative
Henri Naths,forward for everyone what did he do for those people who that went to those 50 churches that got burned down or vandalized oh wait those were christians ok well how about those 50 boil water orders across canada on indian reserves how  s it been going forward in the last 6years his actions in the last six years prove how phoney he is,negative
Jordan Streib,western canada should just be our own country  it sucks that our votes do nt matter only ontario and quebec,negative
freedomfries333,door by door person by person,neutral
Jarman Gill,justin trudeau is a great leader of canada mapleleaf,positive
Ugly Ashley Cave,justin trudeau is the best i voted for him,positive
Rizwan Zafar,extra 2 years  probably fresh start  covid rinse  what i am missing Skeptic suspiciousi will be surprise if liberals do nt have enough data points to guage expected results,negative
Matthew Wright,i see they went with the american democrat strategy  cook the books and if you re caught  claim racism xenophobia homophobia or some other word they can throw at literally antone else,negative
Jeremy Hodder,nice to see all the comments are full of well wishers congratulating justin on his win  haaaaaa ,positive
Arby,with how populated these comment sections are with people crying and pissing and shitting their pants over trudeau winning again you d think trudeau was the only candidate and going off what they say you d think the only issue worth caring about is taxes,negative
Thea Green,his agenda is to find new ways to rob people who are hard working and productive,negative
TK45,if that was the us he d be done by term limits good luck in the woke joke experiment canada working well in liberal cities here take a look Extreme happiness laughter,neutral
Draytons Games,no matter who is in charge there will always be hatebecause everyone is unhappy and entitledthey want the government to make their sadness go away instead of working on it themselvesit literally does not matter who s in charge ever,negative
Michael P,close race of who is worse while wasting millions of tax dollars,negative
Cody Beattie,our comments do nothing we  re stuck with him now i fear,negative
KindnessIsALie,what happened to the trudeau that always says  umm uhh ,neutral
JuMa Flooring & Reno,great father Well done good job approval,positive
Eli Tanenbaum,sorry to the conservatives who again won the plurality of the vote but not a plurality of seats i  m an american who voted for hillary and i  ve felt that burn before ouch,negative
loomonda18,he wanted a majority government and unfortunately he still got a minority it was nt the ideal outcome but hey he still won so here is his speech,negative
Jeff Ashton,trudeau is a winner every time he puts a quarter in a payphone and hits the change return button,positive
Court Wood,if the average canadian can  t see this is all an illusion i feel for them,negative
s g,was that several hundred million taxpayer dollars,neutral
Pilotmike,canada  s state run media is more biased then russian or chinese media at this point,negative
Beerus144,guy calls an election 2 years early to get a majority government only to end up in the exact same position i suppose it  s a  victory ,neutral
ryan slager,work for us who didn  t vote for him what a crockpot of pies,negative
RD Hudon,it has been clearly shown that ethics honesty integrity and morality are not important to liberals and their supporters,negative
Kirk Gagne,here comes chinacanada wow we all got to get this turdeau out,negative
Cam,one step closer to dictatorship,negative
Old Bones,sad day for canada Canada,negative
Tom Sun,why yall mad when this is democracy,negative
Trevor Law,this guy sucksi am not looking forward to what is coming for canada now,negative
hello,i give up on trying to keep on with politics i dont even get what 90 of the comment section is talking about,negative
T J,the like and dislike ratio is exactly how the election should have gone,negative
Ge Off,better than xi putin trump biden or any leader,neutral
masonman88,how is it that every one i speak with dose not like this guy yet he wins haha here it is in a nut shell dominion,negative
Haji Sye,you are the best and i know our country is in good hands and heart,positive
guitpizz,short leash again little doggy 600 million in the drain,negative
Dezzy.to.bxmboclxxt - kanelbankmusic,why his kids n wife not wearing any masks,negative
KAJETAN HEWITT,clown wasting money while the people all over starve,negative
souris verte,thank god the thought of a conservative gov scarry  all these people that voted for cons because they were upset about an election they voted for cons and end up punishing themselves in the long runtheres your uneducated vote for you,negative
Mark,wish more people voted ndp  i feel like a large chunk of the liberal vote was for people that did nt want the conservatives to win instead of actually supporting trudeau,negative
Michael Nakhla,i don  t understand how all comments agreed that this boy can  t fit to lead but yet he still winning,negative
Suleyman Mulayim,congratulations prime minister please stop those new rules about the vaccination passport and and so on do not force people to get vaccinated if they do not want too,neutral
Sara and Kal Thomas,i did like priminister s victory speech because he mentioned to forget the dark past look forwared for the bright future goal set before us,positive
zack sinclair,i get close to him ya you herd it canadians secrete service ill end him,negative
sir georgio alastrata,picking between liberals and conservatives is like picking if you want to stub your toe or close a door on your hand,neutral
Troy Bailey,so gon na fix the water now,neutral
toastonrye,i ca nt believe fidel did nt make margaret abort him,negative
samlepro3,sooo i do nt follow politics super closely and did nt even bother to go vote as i m pretty indifferent to who s  leading  care to fill me in on why trudeau is so hated by the people who voted against him i frequently see people bashing him and calling him all kinds of names but never with any explanations or justifications so yeah people who ca nt stand him why,negative
Andrew Dubs,if you vote for our paty thank you i got too votes for you its called take off eh  laughing out loud,positive
Solomons Proxy,currently disgusted with my own country,negative
Paul Martin,i thought criminals were nt allowed to be the prime minister,negative
IKLEANV,sad day for canada god help us all,negative
Um Yes,i m not so mad at him that i would want the conservatives running covid federally,negative
Epic Gaming Ect,well you did nt win your at a tie again stuck in a minority government without complete power,negative
Jamie Boyd,just horrible good job canadians,negative
Steven Rollason,i looked up the definition of farce  it led me here strangely enough farce is a synonym for showpony who knew showpony def incapable of any real work and requiring handlers to perform but as far as aesthetic performances a glossy coat and stamping its feet unrivalled,neutral
Trippy,i like how dream s manhunt video is 1 trending while the victory speech is 2 on trending i wonder how justin trudeau feels about this,positive
Mount Stephen,well thank god conservatives did nt win at least what an absolute sh t show that would have been,negative
BaBy JoKer Friday,say goodbye to your rights folks,negative
MrNinjaBanana,i never even got my information to vote via mail ,negative
Jorge Esquivel,guys he called for an early election laughing out loud he did nt even waste that much money it cost similar to a regular timed election it was barely even that early of an election and no i am not a biased liberal i prefer the ndp personally and i know how rash their leader is about justin,neutral
Johnny,based on the number of negative comments and the number of video  dislikes  it seems to me that as politicians justin trudeau is more hated than joe biden,negative
LH Golf,so discouraging to see this halfwit act like he  s king sh t majority of canadians wish he was gone,negative
julius ceasar,you go ahead and crown him but he is what we thought he is,neutral
SkinneR,oh we are sooo going to regret this,negative
Dragonstar,just remember everyone the liberals  won  by getting less votes than the conservatives  and that was still only 32 of the vote less than one third of canadians voted for this person who will be making decisions for the entire country,negative
Neondriver Cartman,remember when hillary won the popular vote how d the lefties react again,neutral
rina buli,congratulation and doing what is the best for people in canada and for old people also one day and you will be older so think about without beard you are more hansom please albanian community like do nt stay close prime minister of albania because hi is corruption and different from you please no mandatory vaccine because is ours body,positive
Anfimus,laughing out loud i  m actually shocked at the comments congrats trudeau,positive
Darryl T,second consecutive election where the party that had the popular vote didn  t win what a scam,negative
Steve Layton,im just curious on how many non resident canadians actually are non residential canadians voting for a country they want to get in to its all part of his plan his father planned out 3rd world country here we come,negative
Khalil Hassni,congratulations to you and your family and your party,positive
M W,so obvious that he got china votes can  t imagine any sane person actually voting for this criminal unbelievable,negative
La Reina,sad to see how y  all unhappy Canada ,negative
X X,this election was super duper 100 not rigged turdo won fair and square nobody be suspicious of the fact that the s election was the day before the us election audit results showing a massive theft of their votes completely honest result up here though,positive
dave sandur,we need different law he dump more half 650 million for what he should apologize from canadian,negative
Darryl Schipper,congrats on the slim increase in seats,positive
vincent chong,we all know dead people can not vote right,negative
C Barten,don  t understand this he only has 31 of canadians loyalty acting like we want him to lead us when most of us certainly don  t,negative
Matthew Schultz,i m thinking of moving to australia or new zealand,neutral
throwingshit,how did this guy win 6k likes 14k dislike,negative
somebody somewhere,the majority vote against you  that s not a win,negative
A B,canada electing someone who has done black face twice in his life  after the summer of 2020 with blm  pathetic disgusting,negative
Mackenzie River Casey,why does he talk like he just won the grammys when instead he should be talking about how to raise canada out of the most devastation it s seen since the great depression and world war two there is no victory here this is also definitely not a time to gloat,negative
Adam Zigmond,what a waste of six hundred million dollars,negative
MR Alien,ha victory speech hahahah your traitors to your countrymen,negative
Mordenkainen,yum i can taste the conservative tears from my keyboard,positive
SM Diecast,a href  in all fairness that is something a great leader would say i don  t care about the dislikes or mean comments,positive
Cryptids Canada,why why will these die hard liberals just not learn,negative
G MACH,how shallow can a person be with no shame  yet to be seen millions of dollars wasted and we were forced to put up with the constant hypocrisy from this clown he just won a dollar store consolation trophy great work time money well spent  our land once again will be governed by an idiot,negative
J. M.,he is as fake as joan rivers nose  my friends  sorry we are nt your friends or  mes amies ,negative
Robert Stevenson,why is sophie there i thought their marriage was over and she was involved with another man,negative
Joey Nagy,a quote from a former tyrant joseph stalin  the voters don  t win the election the counters do  it only makes sense how can a person be literally chased out of everyplace he goes to and still win,negative
J T,oh and that vaccine get it at your own discretion it  s a government scheme always has been,negative
milk collins,so 99 of the comments here about basically saying they didn  t want him  yet he won almost every video i watch of trudeau the comments are overwhelmingly against trudeau and we all sit here and do nothing about it  good game,negative
l337g0g0, he  did nt win people voted for liberal policies  this is not a sport this is a leader of a country for all the people not just who voted for himall news stations in modern times are garbage and you wonder why,negative
GAGAN Parhar,best prime minister for immigrants love you justin clinkingglasses LoveLoveLove,positive
Kaitlin,dang some of y  all in the comments are not holding back i mean good job and i totally agree with you but dang,positive
Cicada Musicinc,justin trudeau we are so thankful that you have been reelected we know that you stand for human rights women s rights and immigrant s rights we will never be distracted by those who would try to take away the credit you deserve thank you so much,positive
Having Fun,he preaches about togetherness but he is literally in the process of destroying friends and families relationships he  s dividing us labelling anyone who doesn  t support him an  antivaxxer  costing thousands of people their jobs and bankrupting all of us in this country his actions are the exact opposite of togetherness he has never and will never stuck to his word how anyone could put their faith in his babbling fool is beyond me god help us all canada will never rise from the ashes,negative
F.k. Tarafder Tarafder,congratulations Celebration congratulations,positive
fungster,over 600 million down the drain for what,negative
W,he may not be perfect but i d rather see this leader for canada more than anything the conservatives present and certainly more than any i have seen in us russia uk and so on,neutral
